comment-id,Statement_Type,comment
0,Normative,FAccT should be open and welcoming community
1,Normative,FAccT should be a generator for alternative solidarity structures (such as mutual aid)
2,Descriptive,"FAccT is NOT doing well in inviting “non-academics” into the conversation (e.g., industry, community leaders, entrepreneurs)"
3,Normative,FAccT should have poster sessions
4,Descriptive,Facct is not inclusive to the local country/community
5,Descriptive,"FAccT is not doing well in providing tangible, practical guidance for non-academics to build responsible technology"
6,Normative,"FAccT should have more opportunities to meet people (i.e. speed dating, poster sessions)"
7,Descriptive,FAccT is doing well in implementing requests from previous years into future conferences
8,Normative,FAccT should invite more industry (as visitors) but not give them a platform
9,Normative,FAccT should be free for phd students
10,Normative,FAccT should have different prices for different countries' incomde group
11,Descriptive,FAccT is building a community that shares similar values
12,Descriptive,FAccT is not advertised locally (even among academics)
13,Descriptive,Faact is mostly focused on a single discipline (CS)
14,Descriptive,FAccT is the most multidisciplinary conference in Computer Science
15,Normative,"FAccT should be more aware and welcoming for neurodiversity (i.e. better acoustics in the building, low stimulus room, nap room)"
16,Descriptive,FAccT is not inclusive to non academics
17,Normative,FAccT should be vegetarian
18,Descriptive,FAccT is doing well in respectful exchange of interdisciplinary topics.
19,Normative,FAccT should NOT be exclusionary
20,Normative,FAccT should NOT be sponsored by big corporates
21,Descriptive,"FAccT is not doing well in creating opportunities for participatory design, prototyping, and building/creating together AT the conference"
22,Descriptive,FAccT is doing well in sticking to their values
23,Descriptive,FAccT is doing well at inclusivity
24,Descriptive,FAccT is doing well in selecting diverse locations that are fun and culturally enriched.
25,Normative,FAccT should NOT be centred around western naratives (e.g. US right now) and political atmosphere
26,Normative,FAccT should NOT contribute to plastic waste
27,Descriptive,Faact is a useful space to meet future collaborators
28,Normative,FAccT should NOT dismiss environmental foot print of research
29,Descriptive,"FAccT is doing well in providing different formats and ways to connect like socials, CRAFTs, etc."
30,Normative,FAccT should NOT be repeatedly in visa-requiring locations
31,Normative,FAccT should be multilingual
32,Normative,FAccT should diversify its epitstemology.
33,Descriptive,FAccT is US centric in content and attendees
34,Normative,FaCCT should engage in real participatory design
35,Normative,"FAccT should have less simultaneous paper tracks (offering the choice between papers, craft and tutorial)"
36,Normative,FAccT should remain volunteer-run (organizers are uncompensated)
37,Normative,"FAccT should take industry funding, but only the minimum required to operate"
38,Normative,FAccT should reduce sponsorship reliance to a minimum by no longer providing financial support to any attendees
39,Normative,"FAccT should have an ""interventions/visioning"" track/workshop that makes space for new proposals and a critical discussion of them"
40,Normative,"Because there aren't other conferences with this focus, so FAccT must remain a top venue for research in computing and social justice."
41,Normative,Academics often need publications to justify attendance. FAccT should add publications (e.g. workshops) to broaden audience esp. students.
42,Normative,"Faact should support more cross-disciplinary meetings at the conference, not just in the socials."
43,Normative,"Regarding whether FAccT remains volunteer-run, I think we shall also think about ""what is the role of compensation"", the necessity"
44,Other,"agree on value of neurodiversity, yet, comtemplate ""more aware"" relates to what topics receive less attention,as attention isn't unlimited"
46,Normative,better question is the alternatives (how to) not center around western narratives
48,Normative,"should take visa as a consideration. but ""should not"" sets a barriers for some locations benefiting for hosting FAccT"
49,Other,Polis is not a useful way to have a conversation about these issues.
50,Descriptive,Many of the ideas in here are things that FaccT already does.
51,Descriptive,Financial support to attendees is a paramount expression of our values.
52,Other,"It's easy to vote for judgements about organizing a conference, more difficult to put together a conference that integrates all of them"
53,Normative,"FAccT should be more inclusive of people & topics important outside the US, Europe & scrutinize prominence of corporate papers & narratives."
54,Descriptive,"Poster sessions provide value as an easy way to randomly talk to anyone and start a conversation, sometimes difficult otherwise at FAccT."
55,Descriptive,"3 times I've been to FAccT (18, 23, 24) tech industry influence (e.g. who runs workshops) has been noticeable & sometimes problematic."
56,Normative,FAccT could require panels & workshops to be designed/led by representatives of that year's region. '24 had decent regional representation.
57,Descriptive,In 3 years I've been to FAccT it had plenty of industry input through the papers chosen & who ran or spoke at panels & workshops.
58,Normative,Facct should also run local meetups (EU/UK/Asia-Pacific) in case if attendees fail to attend due to visa reasons
59,Normative,FAccT should not get money from big corporations.
60,Descriptive,A FAccT paper submission is more likely to be rejected if it takes a critical perspective on past published work.
