Theme,Description
Inclusivity & Accessibility,"Statements about welcoming diverse participants, neurodiversity accommodations, accessibility for different groups"
Geographic & Cultural Diversity,"Concerns about Western/US-centrism, location choices, visa issues, local community engagement, multilingualism"
Disciplinary Scope,"Multidisciplinary nature, CS focus, cross-disciplinary collaboration, epistemological diversity"
Industry Engagement,"Relationship with corporations, sponsorship, industry participation vs. influence"
Financial & Economic Access,"Pricing, student fees, financial support for attendees, income-based pricing"
Conference Format & Programming,"Poster sessions, workshops, tracks, networking opportunities, session structure"
Community & Values,"Shared values, community building, solidarity structures, mutual aid"
Environmental Sustainability,"Carbon footprint, plastic waste, vegetarian options"
Practical Impact,"Guidance for practitioners, tangible outcomes, real-world application"
Governance & Operations,"Volunteer-run structure, organizer compensation, conference organization"
Meta-Feedback,Comments about this survey/process itself or general observations
