"timestamp","datetime","comment-id","author-id","agrees","disagrees","moderated","comment-body","is_actionable_LLM","is_actionable_YL","agree","is_actionable_JS","is_actionable","","","","","","","","","","","","",""
"1750942477","Thu Jun 26 2025 12:54:37 GMT+0000 (Coordinated Universal Time)","11","0","53","18","1","FAccT is building a community that shares similar values","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942488","Thu Jun 26 2025 12:54:48 GMT+0000 (Coordinated Universal Time)","12","0","29","14","1","FAccT is not advertised locally (even among academics)","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942506","Thu Jun 26 2025 12:55:06 GMT+0000 (Coordinated Universal Time)","13","0","24","46","1","Faact is mostly focused on a single discipline (CS)","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942550","Thu Jun 26 2025 12:55:50 GMT+0000 (Coordinated Universal Time)","17","0","30","45","1","FAccT should be vegetarian","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942464","Thu Jun 26 2025 12:54:24 GMT+0000 (Coordinated Universal Time)","9","0","36","34","1","FAccT should be free for phd students","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942468","Thu Jun 26 2025 12:54:28 GMT+0000 (Coordinated Universal Time)","10","0","65","13","1","FAccT should have different prices for different countries' incomde group","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942330","Thu Jun 26 2025 12:52:10 GMT+0000 (Coordinated Universal Time)","0","0","87","1","1","FAccT should be open and welcoming community","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942425","Thu Jun 26 2025 12:53:45 GMT+0000 (Coordinated Universal Time)","1","0","42","19","1","FAccT should be a generator for alternative solidarity structures (such as mutual aid)","no","yes","FALSE","indirect","no","","","","","","","","","","","","",""
"1750942429","Thu Jun 26 2025 12:53:49 GMT+0000 (Coordinated Universal Time)","2","0","37","25","1","FAccT is NOT doing well in inviting “non-academics” into the conversation (e.g., industry, community leaders, entrepreneurs)","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942434","Thu Jun 26 2025 12:53:54 GMT+0000 (Coordinated Universal Time)","3","0","61","12","1","FAccT should have poster sessions","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942439","Thu Jun 26 2025 12:53:59 GMT+0000 (Coordinated Universal Time)","4","0","22","19","1","Facct is not inclusive to the local country/community","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942444","Thu Jun 26 2025 12:54:04 GMT+0000 (Coordinated Universal Time)","5","0","38","17","1","FAccT is not doing well in providing tangible, practical guidance for non-academics to build responsible technology","yes","no","FALSE","no","no","","","","","","","","","","","","",""
"1750942450","Thu Jun 26 2025 12:54:10 GMT+0000 (Coordinated Universal Time)","6","0","63","4","1","FAccT should have more opportunities to meet people (i.e. speed dating, poster sessions)","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942455","Thu Jun 26 2025 12:54:15 GMT+0000 (Coordinated Universal Time)","7","0","34","5","1","FAccT is doing well in implementing requests from previous years into future conferences","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942459","Thu Jun 26 2025 12:54:19 GMT+0000 (Coordinated Universal Time)","8","0","40","16","1","FAccT should invite more industry (as visitors) but not give them a platform","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942513","Thu Jun 26 2025 12:55:13 GMT+0000 (Coordinated Universal Time)","14","0","44","16","1","FAccT is the most multidisciplinary conference in Computer Science","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942537","Thu Jun 26 2025 12:55:37 GMT+0000 (Coordinated Universal Time)","15","0","52","8","1","FAccT should be more aware and welcoming for neurodiversity (i.e. better acoustics in the building, low stimulus room, nap room)","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942543","Thu Jun 26 2025 12:55:43 GMT+0000 (Coordinated Universal Time)","16","0","27","22","1","FAccT is not inclusive to non academics","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942598","Thu Jun 26 2025 12:56:38 GMT+0000 (Coordinated Universal Time)","18","0","64","7","1","FAccT is doing well in respectful exchange of interdisciplinary topics.","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942604","Thu Jun 26 2025 12:56:44 GMT+0000 (Coordinated Universal Time)","19","0","65","2","1","FAccT should NOT be exclusionary","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942621","Thu Jun 26 2025 12:57:01 GMT+0000 (Coordinated Universal Time)","20","0","31","39","1","FAccT should NOT be sponsored by big corporates","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942626","Thu Jun 26 2025 12:57:06 GMT+0000 (Coordinated Universal Time)","21","0","35","17","1","FAccT is not doing well in creating opportunities for participatory design, prototyping, and building/creating together AT the conference","yes","yes","TRUE","","yes","","","","","","","","","","","","",""
"1750942638","Thu Jun 26 2025 12:57:18 GMT+0000 (Coordinated Universal Time)","22","0","47","9","1","FAccT is doing well in sticking to their values","no","no","TRUE","","no","","","","","","","","","","","","",""
"1750942654","Thu Jun 26 2025 12:57:34 GMT+0000 (Coordinated Universal Time)","23","0","43","15","1","FAccT is doing well at inclusivity","no","no","TRUE","","no","","","","","","","","","","","","",""
