comment-id,comment,Opus 4.5,GPT 5.2 thinking (agent mode),Gemini 3 Pro,Shiran,Yanan,Majority
0,FAccT should be open and welcoming community,Inclusivity & Accessibility; Community & Values,Inclusivity & Accessibility; Community & Values,Community & Values; Inclusivity & Accessibility,Inclusivity & Accessibility; Community & Values; Practical Impact,Inclusivity & Accessibility; Community & Values,Community & Values; Inclusivity & Accessibility
1,FAccT should be a generator for alternative solidarity structures (such as mutual aid),Community & Values,Community & Values,Community & Values,Community & Values; Practical Impact,Community & Values; Practical Impact,Community & Values; Practical Impact
2,"FAccT is NOT doing well in inviting “non-academics” into the conversation (e.g., industry, community leaders, entrepreneurs)",Industry Engagement; Inclusivity & Accessibility,Disciplinary Scope; Industry Engagement; Inclusivity & Accessibility,Inclusivity & Accessibility; Industry Engagement,Inclusivity & Accessibility; Industry Engagement,Inclusivity & Accessibility; Industry engagement,Inclusivity & Accessibility; Industry Engagement
3,FAccT should have poster sessions,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming
4,Facct is not inclusive to the local country/community,Inclusivity & Accessibility; Geographic & Cultural Diversity,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility
5,"FAccT is not doing well in providing tangible, practical guidance for non-academics to build responsible technology",Practical Impact,Practical Impact,Practical Impact,Practical Impact,Practical Impact,Practical Impact
6,"FAccT should have more opportunities to meet people (i.e. speed dating, poster sessions)",Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming; ,Conference Format & Programming,Conference Format & Programming
7,FAccT is doing well in implementing requests from previous years into future conferences,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations
8,FAccT should invite more industry (as visitors) but not give them a platform,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement
9,FAccT should be free for phd students,Financial & Economic Access,Financial & Economic Access,Financial & Economic Access,Financial & Economic Access,Financial & Economic Access,Financial & Economic Access
10,FAccT should have different prices for different countries' incomde group,Financial & Economic Access; Geographic & Cultural Diversity,Financial & Economic Access; Geographic & Cultural Diversity,Financial & Economic Access; Geographic & Cultural Diversity,Inclusivity & Accessibility; Financial & Economic Access; Geographic & Cultural Diversity,Financial & Economic Access; Geographic & Cultural Diversity; Inclusivity & Accessibility,Financial & Economic Access; Geographic & Cultural Diversity; Inclusivity & Accessibility
11,FAccT is building a community that shares similar values,Community & Values,Community & Values,Community & Values,Community & Values,Community & Values,Community & Values
12,FAccT is not advertised locally (even among academics),Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Inclusivity & Accessibility; Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity
13,Faact is mostly focused on a single discipline (CS),Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Inclusivity & Accessibility; Disciplinary Scope,Disciplinary Scope,Disciplinary Scope
14,FAccT is the most multidisciplinary conference in Computer Science,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope; Community & Values,Disciplinary Scope,Disciplinary Scope
15,"FAccT should be more aware and welcoming for neurodiversity (i.e. better acoustics in the building, low stimulus room, nap room)",Inclusivity & Accessibility,Inclusivity & Accessibility,Inclusivity & Accessibility,Community & Values; Inclusivity & Accessiblity,Inclusivity & Accessibility,Inclusivity & Accessibility
16,FAccT is not inclusive to non academics,Inclusivity & Accessibility,Inclusivity & Accessibility; Disciplinary Scope; Industry Engagement,Inclusivity & Accessibility,Community & Values; Inclusivity & Accessiblity,Inclusivity & Accessibility; Disciplinary Scope,Disciplinary Scope; Inclusivity & Accessibility
17,FAccT should be vegetarian,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability
18,FAccT is doing well in respectful exchange of interdisciplinary topics.,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope; Community & Values,Disciplinary Scope;,Disciplinary Scope,Disciplinary Scope
19,FAccT should NOT be exclusionary,Inclusivity & Accessibility,Inclusivity & Accessibility,Inclusivity & Accessibility,Inclusivity & Accessibility; Community & Values,Inclusivity & Accessibility,Inclusivity & Accessibility
20,FAccT should NOT be sponsored by big corporates,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement
21,"FAccT is not doing well in creating opportunities for participatory design, prototyping, and building/creating together AT the conference",Practical Impact; Conference Format & Programming,Conference Format & Programming,Conference Format & Programming; Practical Impact,Governance & Operations; Conference Format & Programming,Conference Format & Programming; Practical Impact,Conference Format & Programming; Practical Impact
22,FAccT is doing well in sticking to their values,Community & Values,Community & Values,Community & Values,Community & Values,Community & Values,Community & Values
23,FAccT is doing well at inclusivity,Inclusivity & Accessibility,Inclusivity & Accessibility,Inclusivity & Accessibility,Inclusivity & Accessibility; Community & Values,Inclusivity & Accessibility; Community & Values,Community & Values; Inclusivity & Accessibility
24,FAccT is doing well in selecting diverse locations that are fun and culturally enriched.,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity;,Geographic & Cultural Diversity,Geographic & Cultural Diversity
25,FAccT should NOT be centred around western naratives (e.g. US right now) and political atmosphere,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity
26,FAccT should NOT contribute to plastic waste,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability
27,Faact is a useful space to meet future collaborators,Conference Format & Programming; Community & Values,Conference Format & Programming,Conference Format & Programming; Community & Values,Conference Format & Programming; ,Conference Format & Programming; Community & Values,Community & Values; Conference Format & Programming
28,FAccT should NOT dismiss environmental foot print of research,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability,Environmental Sustainability
29,"FAccT is doing well in providing different formats and ways to connect like socials, CRAFTs, etc.",Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming; ,Conference Format & Programming,Conference Format & Programming
30,FAccT should NOT be repeatedly in visa-requiring locations,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Inclusivity & Accessibility; Geographic & Cultural Diversity,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility
31,FAccT should be multilingual,Geographic & Cultural Diversity,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Governance & Operations,Geographic & Cultural Diversity; Inclusivity & Accessibility,Geographic & Cultural Diversity; Inclusivity & Accessibility
32,FAccT should diversify its epitstemology.,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Disciplinary Scope
33,FAccT is US centric in content and attendees,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity
34,FaCCT should engage in real participatory design,Practical Impact,Conference Format & Programming,Practical Impact,Conference Format & Programming; Governance & Operations,Conference Format & Programming,Conference Format & Programming; Practical Impact
35,"FAccT should have less simultaneous paper tracks (offering the choice between papers, craft and tutorial)",Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming;,Conference Format & Programming,Conference Format & Programming
36,FAccT should remain volunteer-run (organizers are uncompensated),Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations
37,"FAccT should take industry funding, but only the minimum required to operate",Industry Engagement,Industry Engagement,Industry Engagement; Financial & Economic Access,Industry Engagement,Industry Engagement; Financial & Economic Access,Financial & Economic Access; Industry Engagement
38,FAccT should reduce sponsorship reliance to a minimum by no longer providing financial support to any attendees,Industry Engagement; Financial & Economic Access,Industry Engagement; Financial & Economic Access,Industry Engagement; Financial & Economic Access,Industry Engagement; Financial & Economic Access,Industry Engagement; Financial & Economic Access,Financial & Economic Access; Industry Engagement
39,"FAccT should have an ""interventions/visioning"" track/workshop that makes space for new proposals and a critical discussion of them",Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Governance & Operations; Conference Format & Programming,Conference Format & Programming,Conference Format & Programming
40,"Because there aren't other conferences with this focus, so FAccT must remain a top venue for research in computing and social justice.",Community & Values; Practical Impact,Disciplinary Scope,Community & Values; Disciplinary Scope,Disciplinary Scope,Disciplinary Scope,Community & Values; Disciplinary Scope
41,Academics often need publications to justify attendance. FAccT should add publications (e.g. workshops) to broaden audience esp. students.,Conference Format & Programming; Financial & Economic Access,Conference Format & Programming,Conference Format & Programming; Financial & Economic Access,Disciplinary Scope; Conference Format & Programming ,Conference Format & Programming,Conference Format & Programming; Financial & Economic Access
42,"Faact should support more cross-disciplinary meetings at the conference, not just in the socials.",Disciplinary Scope; Conference Format & Programming,Disciplinary Scope; Conference Format & Programming,Disciplinary Scope; Conference Format & Programming,Conference Format & Programming,Disciplinary Scope; Conference Format & Programming,Conference Format & Programming; Disciplinary Scope
43,"Regarding whether FAccT remains volunteer-run, I think we shall also think about ""what is the role of compensation"", the necessity",Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations,Governance & Operations; Financial & Economic Access,Governance & Operations
44,"agree on value of neurodiversity, yet, comtemplate ""more aware"" relates to what topics receive less attention,as attention isn't unlimited",Inclusivity & Accessibility; Meta-Feedback,Meta-Feedback; Inclusivity & Accessibility,Inclusivity & Accessibility; Conference Format & Programming,Community & Values; Inclusivity & Accessiblity,Inclusivity & Accessibility; Meta-Feedback,Inclusivity & Accessibility; Meta-Feedback
45,Depending on fields of non-academics,Meta-Feedback,Disciplinary Scope,Inclusivity & Accessibility,?,,
46,better question is the alternatives (how to) not center around western narratives,Geographic & Cultural Diversity; Meta-Feedback,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity
47,"the current feedback of poster sessions, esp junior",Conference Format & Programming; Meta-Feedback,Conference Format & Programming; Meta-Feedback,Conference Format & Programming,Conference Format & Programming; ,,Conference Format & Programming; Meta-Feedback
48,"should take visa as a consideration. but ""should not"" sets a barriers for some locations benefiting for hosting FAccT",Geographic & Cultural Diversity; Meta-Feedback,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Inclusivity & Accessibility; Geographic & Cultural Diversity,Inclusivity & Accessibility; Geographic & Cultural Diversity,Geographic & Cultural Diversity; Inclusivity & Accessibility
49,Polis is not a useful way to have a conversation about these issues.,Meta-Feedback,Meta-Feedback,Meta-Feedback,Meta-Feedback,Meta-Feedback,Meta-Feedback
50,Many of the ideas in here are things that FaccT already does.,Meta-Feedback,Meta-Feedback,Meta-Feedback,Governance & Operations; Meta-Feedback,Meta-Feedback,Meta-Feedback
51,Financial support to attendees is a paramount expression of our values.,Financial & Economic Access; Community & Values,Financial & Economic Access; Community & Values,Financial & Economic Access; Community & Values,Financial & Economic Access; Community & Values,Financial & Economic Access; Community & Values,Community & Values; Financial & Economic Access
52,"It's easy to vote for judgements about organizing a conference, more difficult to put together a conference that integrates all of them",Governance & Operations; Meta-Feedback,Meta-Feedback,Governance & Operations; Meta-Feedback,Governance & Operations; Meta-Feedback,Governance & Operations; Meta-Feedback,Governance & Operations; Meta-Feedback
53,"FAccT should be more inclusive of people & topics important outside the US, Europe & scrutinize prominence of corporate papers & narratives.",Inclusivity & Accessibility; Geographic & Cultural Diversity; Industry Engagement,Geographic & Cultural Diversity; Inclusivity & Accessibility; Industry Engagement,Geographic & Cultural Diversity; Industry Engagement,Geographic & Cultural Diversity,Geographic & Cultural Diversity,Geographic & Cultural Diversity; Inclusivity & Accessibility; Industry Engagement
54,"Poster sessions provide value as an easy way to randomly talk to anyone and start a conversation, sometimes difficult otherwise at FAccT.",Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming,Conference Format & Programming
55,"3 times I've been to FAccT (18, 23, 24) tech industry influence (e.g. who runs workshops) has been noticeable & sometimes problematic.",Industry Engagement; Conference Format & Programming,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement
56,FAccT could require panels & workshops to be designed/led by representatives of that year's region. '24 had decent regional representation.,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Conference Format & Programming,Conference Format & Programming; Geographic & Cultural Diversity
57,In 3 years I've been to FAccT it had plenty of industry input through the papers chosen & who ran or spoke at panels & workshops.,Industry Engagement; Conference Format & Programming,Industry Engagement; Conference Format & Programming,Industry Engagement,Industry Engagement,Industry Engagement,Conference Format & Programming; Industry Engagement
58,Facct should also run local meetups (EU/UK/Asia-Pacific) in case if attendees fail to attend due to visa reasons,Geographic & Cultural Diversity,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Conference Format & Programming,Geographic & Cultural Diversity; Inclusivity & Accessibility; Practical Impact,Geographic & Cultural Diversity; Inclusivity & Accessibility,Conference Format & Programming; Geographic & Cultural Diversity; Inclusivity & Accessibility
59,FAccT should not get money from big corporations.,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement,Industry Engagement
60,A FAccT paper submission is more likely to be rejected if it takes a critical perspective on past published work.,Conference Format & Programming; Meta-Feedback,Conference Format & Programming,Governance & Operations,Disciplinary Scope,Disciplinary Scope,Conference Format & Programming; Disciplinary Scope
